"ENERGY STAR Unique ID","ENERGY STAR Partner","Brand Name","Model Name","Model Number","Additional Model Information","UPC","Type","Integrated Desktop Category","Product Marketed as a Workstation","Installed NPU","Motherboard Form Factor","Product DIMM Count","Operating System Name","Processor Brand","Processor Name","Physical CPU Cores (count)","CPU Packages (count)","CPU Base Clock Speed (GHz) ","CPU Maximum Clock Speed (GHz) ","System Memory (GB)","Multi-Channel Memory Support","Capable of Switchable Graphics","Switchable Graphics Enabled by Default in AC Mode ","Discrete Graphics Frame Buffer Bandwidth (GB/s) ","Discrete Graphics Frame Buffer Data Width (bits) ","Fast Ethernet Ports (count)","Gigabit Ethernet Ports (count) ","10 Gigabit Ethernet Ports (count)","Energy Efficient Ethernet (EEE) ","Number of Installed Storage Drives ","Number of Integrated Displays (count) ","Integrated Display Resolution (megapixels) ","Integrated Display Viewable Screen Area (sq in) ","Enhanced Performance Display Present ","Integrated Display Diagonal Screen Size (in)","Internal Power Supply Efficiency at 10% Load","Internal Power Supply Efficiency at 20% Load","Internal Power Supply Efficiency at 50% Load","Internal Power Supply Efficiency at 100% Load","Category I1/1 Internal Power Supply Efficiency at 50% Load","Category I1/1 Internal Power Supply Efficiency at 100% Load","External Power Supply Rated Power (W)","Internal Power Supply Rated Power (W)","MUX Device","Storage Technology","Total Battery Capacity (watt-hours)","Default Low-power Mode","Long Idle Power Used for Sleep Mode","Off Mode (watts)","Sleep Mode (watts)","Long Idle (watts)","Short Idle (watts)","Additional Measured Power in Short Idle at 115V (W) ","Base TEC Allowance (kWh)","Functional Adder Allowances (kWh)","TEC of Model (kWh)","Maximum TEC Requirements (Etec max) (kWh) ","Ethernet Capability","Touch Screen","Sleep Mode Default Time Upon Shipment (min.)","Display Sleep Mode Default Time Upon Shipment (min.)","WOL (Wake on LAN) From Sleep","Will the Speed of Any Active 1 GB/s or Higher Ethernet Network Links be Reduced to Less Than 1 GB/s When Transitioning to Sleep or Off Mode?","Date Available On Market","Date Certified","Markets","CB Model Identifier"
"4518184","Acer Incorporated","Acer","D25U11","D25U11**","Acer Veriton RA100 AI Mini Workstation,RA100**********,* is ""0-9"", ""a-z"", ""A-Z"", ""-"", or blank; Acer Veriton RA100 AI Mini Workstation,Veriton RA100**********,* is ""0-9"", ""a-z"", ""A-Z"", ""-"", or blank; Acer Veriton RA100 AI Mini Workstation,VRA100**********,* is ""0-9"", ""a-z"", ""A-Z"", ""-"", or blank",,"Desktop",,,"Yes","Mini-ITX","4","Windows 11","AMD","AMD RYZEN AI MAZ+ 395w/ Radeon 8060S","8","1","3","5.1","128",,,,,,"1","0","0","Yes","2",,,,,,,,,,,,"239.4",,"No","SSD",,"Sleep Mode","No","0.2","1.3","4","16.6",,"41","23.6","52.6","64.6","Yes","No","5","5","Shipped Disabled","Yes","12/05/2025","12/15/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_20101_D25U11**_121520250522537_8967665"
"4518049","Lenovo Group Limited","Lenovo","IdeaPad Slim 5 16IMH10","IdeaPad Slim 5 16IMH10","XiaoXinPro 16 IMH10, XiaoXin 16 IMH10, IdeaPad Slim 5 16IMH10******,XiaoXinPro 16 IMH10, XiaoXin 16 IMH10, IdeaPad Slim 5 16IMH10******,The ""*"" in model may be 0 to 9, A to Z, a to z, any symbol or blank.","199274014179","Notebook",,"No","No",,,"Windows 11","Intel","Core Ultra 9 185H","16","1","2.5","5.1","32",,,,,,,,,"No","1","1","5.18","114.94","Yes","16",,,,,,,"100",,"No","SSD","80","Modern Standby","Yes","0.2","0.6","0.6","5.9","6.8","8","15.8","14.3","23.6","No","No","5","5",,,"12/11/2025","12/05/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_1037540_IdeaPad Slim 5 16IMH10_12122025140704_5353005"
"4518047","Lenovo Group Limited","Lenovo","IdeaPad Slim 5 14IMH10","IdeaPad Slim 5 14IMH10","XiaoXinPro 14 IMH10, XiaoXin 14 IMH10, IdeaPad Slim 5 14IMH10******,XiaoXinPro 14 IMH10, XiaoXin 14 IMH10, IdeaPad Slim 5 14IMH10******,The ""*"" in model may be 0 to 9, A to Z, a to z, any symbol or blank.","199274013745","Notebook",,"No","No",,,"Windows 11","Intel","Core Ultra 9","16","1","2.5","5.1","32",,,,,,,,,"No","1","1","5.18","88.25","Yes","14",,,,,,,"65",,"No","SSD","60","Modern Standby","Yes","0.2","0.7","0.7","5.3","5.9","8","14.2","13.7","22","No","No","5","5",,,"12/11/2025","12/04/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_1037540_IdeaPad Slim 5 14IMH10_12052025133913_3702832"
"4518000","Zebra Technologies Corporation","Zebra","ET4010B","ET401EB","ET4010B,ET4015B",,"Slate/Tablet",,"No","No",,,"Android OS",,,,"1","2","2.9","6",,"No","No",,,,,,"No","1","1","1","45.4","No","10",,,,,,,"45",,"No","SSD","29","ALPM","Yes","0.6","0.7","0.7","1.3",,"8","4.1","7.2","11.9","No","Yes","1","1",,,"10/15/2025","12/11/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_1032537_ET401EB_12112025090460_7572624"
"4517994","Zebra Technologies Corporation","Zebra","ET4010A","ET401EA","ET4010A,ET4015A",,"Slate/Tablet",,"No","No",,,"Android OS",,,,"1","2","2.9","6",,"No","No",,,,,,"No","1","1","1","28.8","No","8",,,,,,,"45",,"No","SSD","23.5","ALPM","Yes","0.6","0.9","0.9","2.7",,"8","3.2","10.7","11","No","Yes","1","1",,,"10/15/2025","12/11/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_1032537_ET401EA_121120250620883_3657028"
"4517944","Lenovo Group Limited","Lenovo","Ideapad Slim 5 14AGP11","Ideapad Slim 5 14AGP11","Ideapad Slim 5 14AGP11******,Ideapad Slim 5 14AGP11******,The “*” in model may be 0 to 9, A to Z, a to z, any symbol or blank.",,"Notebook",,"No","No",,,"Windows 11","AMD","AMD Ryzen AI 7 450w","8","1","2","5.1","32",,,,,,,,,"No","1","1","5.18","88.25","Yes","14",,,,,,,"65",,"No","SSD","58.9","Sleep Mode","Yes","0.1","0.7","0.7","6.2","6.8","8","14.2","14.9","22","No","No","5","5",,,"12/08/2025","11/25/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_1037540_Ideapad Slim 5 14AGP11_12052025132516_3437866"
"4517932","Dynabook Americas, Inc.","dynabook","Dynabook Chromebook C11","Dynabook Chromebook C11",,,"Two-In-One Notebook",,"No","No",,,"Chrome OS","Other","MT8186","8","1","2","2.1","4",,,,,,,,,"No","1","1","1.05","57.17","No","11.6",,,,,,,"65",,"No","eMMC","35","None","No","0.1","0.3","0.7","2.7","3.3","8","4.5","7.5","12.3","No","Yes","8","6",,,"12/04/2025","12/08/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_1109262_Dynabook Chromebook C11_12092025120427_9229550"
"4517925","Lenovo Group Limited","Lenovo","Ideapad Slim 5 16AGP11","Ideapad Slim 5 16AGP11","Ideapad Slim 5 16AGP11******,Ideapad Slim 5 16AGP11******,The “*” in model may be 0 to 9, A to Z, a to z, any symbol or blank.","199273140558","Notebook",,"No","No",,,"Windows 11","AMD","AMD Ryzen AI 7 450w","8","1","2","5.1","32",,,,,,,,,"No","1","1","5.18","114.94","Yes","16",,,,,,,"100",,"No","SSD","78.5","Sleep Mode","Yes","0.2","0.8","0.8","6.9","8.1","8","17.4","17","25.2","No","Yes","5","5",,"No","12/08/2025","11/25/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_1037540_Ideapad Slim 5 16AGP11_12052025132723_6852462"
"4517831","JP SA Couto, SA","Jp. ik","LEAP T GREEN","JPLT208-0*","T140J,JPLT208-0*,where ""*"" can be any number from 0-9; T140N,JPLT208-0*,where ""*"" can be any number from 0-9; T140T,JPLT208-0*,where ""*"" can be any number from 0-9",,"Notebook",,"No","No",,,"Windows 11 Home","Intel","N100","1","4","3.4","3.4","128",,,"No",,,,"1",,"No","1","1","1.05","56.76","No","11.54",,,,,,,"30",,"No","SSD","38","None",,"0.6","1","2.7","5.7","6.1","8","20","18.1","27.8","Yes","No","30","15","Shipped Enabled Under All Conditions","Yes","12/01/2023","12/05/2025","United States, Canada","ES_1095578_JPLT208-0*_120320250614591_2053149"
"4517830","JP SA Couto, SA","Jp. ik","LEAP T GREEN","JPLT204-0*","T140J,JPLT204-0*,where ""*"" can be any number from 0-9; T140N,JPLT204-0*,where ""*"" can be any number from 0-9; T140T,JPLT204-0*,where ""*"" can be any number from 0-9",,"Notebook",,"No","No",,,"Windows 11 Home","Intel","Celeron(R) N4500","1","2","2.8","2.8","128",,,"No",,,,"1",,"No","1","1","1.05","56.76","No","11.54",,,,,,,"24",,"No","SSD","38","None",,"0.4","0.6","2.5","5.1","6.2","8","20","14.6","27.8","Yes","No","30","15","Shipped Enabled Under All Conditions","Yes","12/01/2023","12/05/2025","United States, Canada","ES_1095578_JPLT204-0*_12032025061070_4526340"
"4517827","Lenovo Group Limited","Lenovo","IdeaPad Pro 5 16IPH11","IdeaPad Pro 5 16IPH11","XiaoXinPro 16GT IPH11,XiaoXinPro 16GT IPH11",,"Notebook",,"No","No",,,"Windows 11","Intel","Ultra X7 358H","16","1","1.9","3.7","32",,,,,,,,,"No","2","1","5.2","114.94","No","16",,,,,,,"100",,"No","SSD","99.9","Sleep Mode","Yes","0.2","0.5","0.5","4.5","5.5","8","13.4","10.9","21.2","No","No","5","5",,,"12/02/2025","10/24/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_1037540_IdeaPad Pro 5 16IPH11_12052025152217_2305512"
"4517809","ASUSTeK Computer Inc.","ASUS","PM500MH","PM500MHC",,,"Desktop",,,"No",,"2","Windows 11 Pro","AMD","Ryzen 5","6","1","4.3","5","32","No","No",,"96","64",,"1",,"Yes","3",,,,,,"0.96","0.99",,,"1","0.99",,"330","No","3.5 inch HDD,SSD",,"Modern Standby","Yes","0.1","2","2","15.5",,"41","47.3","50.7","87.8","Yes","No","5","5",,,"12/12/2025","11/20/2025","United States, Canada","ES_41973_PM500MHC_111720250854742_2943684"
"4517805","Casper Bilgisayar Sistemleri a.s","Casper","NevoPro P40 Series","NevoPro P40 Series",,,"Notebook",,"No","No",,,"Windows 11","Intel","Core i7","10","1","2.4","4.9","16",,"No","No",,,"0","1","0","Yes","1","1","2.3","88.1","No","14",,,,,,,"65",,"No","SDD","60","Sleep Mode","No","0.4","0.4","2.6","3.8","5.2","8","7.7","11.1","15.5","Yes","No","5","5",,"No","11/28/2025","11/25/2025","United States, Canada","ES_1131352_NevoPro P40 Series_12032025102807_5973162"
"4517794","Lanix de America, S.A. de C.V.","Lanix","XBOOK B15","XBOOK B15",,,"Notebook",,"No","No",,,"Windows 11","Intel","Core i7","10","1","2.4","4.9","32",,"No","No",,,"0","1","0","Yes","1","1","2.07","103.3","No","15.6",,,,,,,"65",,"No","SDD","50.2","Sleep Mode","No","0.5","0.5","4.4","5.7","5.8","8","10.2","16.5","18","Yes","No","5","5",,"No","12/01/2025","11/25/2025","United States, Canada","ES_20252_XBOOK B15_12032025101643_5897397"
"4517792","Compumax Computer Ltd.","COMPUMAX","SATURNO SERIES","3046-800-0001","(# = 0-9, A-Z, a-z, -, +, blank or any character, representing different configurations, different exterior colors or different marketing purposes.); 3052-800-0###; 3052-900-0###; 3053-800-0###; 3053-900-0###; 3056-800-0###; 3056-900-0###; 3060-800-0###; 3060-900-0###; 3062-800-0###; 3062-900-0###; 3064-800-0###; 3064-900-0###; SATURNO SERIES CX######## (# = 0-9, A-Z, a-z, -, +, blank or any character, representing different configurations, different exterior colors or different marketing purposes.),3046-900-0###; SATURNO SERIES CX,3046-800-0###",,"Integrated Desktop","Category 1",,"Yes","Standard-ATX","1","Windows 11","Intel","Core Ultra 7","12","1","2","5.2","64","No","No",,,,"0","1","0","No","1",,"2.07","311.7","No","27",,,,,,,"119.7",,"No","SSD",,"Sleep Mode","No","0.3","2.5","4","18.6",,"9","54.2","62.7","62.7","Yes","No","5","5",,"No","11/25/2025","11/25/2025","United States, Canada","ES_1080735_3046-800-0001_12032025100342_2106427"
"4517789","Acer Incorporated","Acer","N25C13","AG15-44P",,,"Notebook",,"No","Yes",,,"Microsoft Windows 11 Pro","AMD","AMD Ryzen 7 8845HS","8","1","3.8","3.8","32",,,,,,"0","0","0","No","1","0","2.1","102.9","No","15.5",,,,,,,"65",,"No","SSD","53.1","ALPM","Yes","0.3","0.6","0.6","5.1","5.3","8","10.1","12.8","17.9","No","No","10","10",,,"08/08/2025","12/03/2025","United States, Japan, Canada, Taiwan","ES_20101_AG15-44P_120320250242614_5740656"
"4517376","ASUSTeK Computer Inc.","ASUS","VM501MH","VM501MHC",,"199291380943","Desktop",,,"No",,"2","Windows 11 Pro","AMD","Ryzen 7","8","1","3.8","5.1","64","No","No",,"168","96",,"1",,"Yes","3",,,,,,"0.92","0.92",,,"0.93","0.9",,"330","No","3.5 inch HDD,SSD",,"Modern Standby","Yes","0.2","3","3","17",,"41","59.9","59.2","100.4","Yes","No","5","5",,,"12/15/2025","12/01/2025","United States, Canada","ES_41973_VM501MHC_112820250907741_4706386"
"4515941","Inforlandia, S.A.","INSYS","INSYS Pro.B","INSYS Pro.B IC7","INSYS Pro.B IC3, INSYS Pro.B IC5","5604008017449","Desktop",,,"No","Mini-ITX","2","Windows 11","Intel","Core i5,Core i3,Core i7","20","1","1.3","5.2","16","No",,,,,,,,"No","1",,,,,,,,,,,,"120",,"No","SSD",,"Sleep Mode","No","0.4","0.8","6.7","8.8",,"41","2.4","32.9","42.9","Yes","No","5","5","Shipped Enabled Under All Conditions","No","11/25/2025","11/03/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_1141634_INSYS Pro.B IC7_11252025135152_3300746"
"4515940","Acer Incorporated","Acer","D25E6","Veriton Vero M8735G","D25E3,BrainSphere P10 F10 SE; D25E3,Veriton Vero X4735G; D25E3,Veriton Vero X4735GT; D25E3,Veriton Vero X6735G; D25E3,Veriton Vero X6735GT; D25E3,VVX4735G; D25E3,VVX4735GT; D25E3,VVX6735G; D25E3,VVX6735GT; D25E4,BrainSphere P10 F10 SE; D25E4,Veriton Vero M4735G; D25E4,Veriton Vero M4735GT; D25E4,Veriton Vero M6735G; D25E4,Veriton Vero M6735GT; D25E4,VVM4735G; D25E4,VVM4735GT; D25E4,VVM6735G; D25E4,VVM6735GT; D25E5,Veriton Vero X8735G; D25E5,Veriton Vero X8735GT; D25E5,VVX8735G; D25E5,VVX8735GT; D25E6,Veriton Vero M8735GT; D25E6,VVM8735G; D25E6,VVM8735GT",,"Desktop",,,"Yes","Micro-ATX","4","Windows 11","Intel","Core Ultra 9","24","1","1.9","5.6","64","No","No",,"448","128","1","1",,"Yes","2",,,,,,"0.92","0.93",,,"0.93","0.9",,"750","No","HDD & SSD",,"Modern Standby mode","No","0.9","8.1","8.1","20.6",,"41","70.9","94.3","111.4","Yes","No","5","5","Shipped Enabled When Operating on Ac Power Only","Yes","11/23/2025","11/25/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_20101_Veriton Vero M8735G_112620250559728_7008982"
"4515936","Clientron Corporation","UltrArmor","N700","UA7",,,"Desktop",,,"No",,"2","Linux","AMD","Ryzen"" Embedded R2514 processor)","4","1","2.1","2.1","8","Yes",,,,,,,,"No","2",,,,,,,,,,,,"60",,"No","eMMC and SSD",,"Sleep Mode",,"0.8","0.8","7.1","7.5",,"41","1.6","30.2","42.1","Yes","No","15","10","Shipped Enabled Under All Conditions","Yes","09/02/2024","11/26/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_1093736_UA7_112220251552615_9513326"
"4515856","Clientron Corporation","UltrArmor","TC156-AN","UA9",,,"Notebook",,"No","No",,,"Windows 11 Pro","Intel","Intel� N100","4","1","0.8","0.8","8",,,,,,,,,"No","1","1","2.07","103.75",,"15.6",,,,,,,"65",,"No","SSD","57","Off Mode with Hibernation",,"0.1","0.5","0.5","4.9","8","8","7.3","11.9","15.1","Yes","No","15","15","Shipped Enabled Under All Conditions","Yes","03/31/2024","11/25/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_1093736_UA9_112020250300522_1145884"
"4515849","Micro-Star International Co., Ltd.","MSI","PRO DP B210","PRO DP10 A14MG",,"824142448847","Desktop",,,"No",,"2","Windows 11","Intel","Core i7","1","20","2.1","5.3","31.9",,,,,,,,,"Yes","1",,,,,,,,,,,,,,"No","SSD",,"Sleep Mode",,"39.1",,"7.6","8.6",,"41","8.8","39.1","49.3","Yes","No",,,,,"11/27/2025","11/25/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_1047644_PRO DP10 A14MG_112120250756702_4220317"
"4515608","Apple Inc.","Apple","iMac (M4, two ports)","A3247","A3247, Z1E2, Z1E3, Z1E4, Z1E5, Z1E6, Z1E7, Z1E8, Z1E9, Z1EA, Z1EB, Z1EC, Z1EE, Z1EF, Z1EG","195950177947;195950177954;195950177961;195950177978;195950177985;195950177992;195950178005;195950178012;195950178029;195950178036;195950178043;195950178050;195950178067;195950178074;195950178081;195950178098;195950178104;195950178111;195950178128;195950178135;195950178142;195950178159;195950178166;195950178173;195950178180;195950219654;195950219708;195950219753;195950219807;195950219852;195950219906;195950219951;195950220001;195950220056;195950220100;195950220155;195950220209;195950220254;195950220308;195950220353;195950220407;195950220452;195950220506;195950220551;195950220605;195950220650;195950220704;195950220759;195950220803;195950220858;195950457162;195950457179;195950457186;195950468335;195950468342;195950948264","Integrated Desktop","Category 2",,"No",,"0","Mac OS, Version 15","Apple","Apple M4","8","1","3.9","3.9","24",,,,,,,"1","0","Yes","1","1","11.29","235.93","Yes","23.5",,,,,,,"143",,"No","SSD",,"Sleep Mode","No","0.3","0.8","2","21.1",,"19","95","60.7","113.9","Yes","No","10","10","Shipped Enabled Under All Conditions","Yes","10/28/2024","10/16/2025","United States, Canada","ES_1023756_A3247_10282025121537_80271342"
"4515607","Apple Inc.","Apple","iMac (M4, two ports)","A3247","A3247, MWUC3, MWUD3, MWUE3, MWUF3, MWUG3, MWUH3, MWUJ3, MWUK3, MWUL3, MWUN3, MWUP3, MWUQ3, MWUR3, MWUT3, MDF74, MDF84","195949594519;195949594687;195949594953;195949595127;195949595394;195949595561;195949595820;195949595998;195949596254;195949596421;195949596681;195949596841;195949597114;195949597275;195949597534;195949597701;195949597961;195949598135;195949598395;195949598555;195949598821;195949598982;195949599248;195949599675;195949599835;195949600104;195949600265;195949600494;195949600500;195949600517;195949600524;195949600531;195949600548;195949600555;195949600562;195949600579;195949600586;195949600593;195949600609;195949600616;195949609527;195949609558;195949925177;195949925344;195950074666;195950074840;195950075120;195950075304;195950075588;195950075762;195950076042;195950076226;195950076509;195950076684;195950076967;195950077148;195950077605;195950078060;195950078527;195950078985;195950079449;195950079906;195950080360;195950080643;195950080827;195950172775;195950172959;195950217889;195950217896;195950217902","Integrated Desktop","Category 2",,"No",,"0","Mac OS, Version 15","Apple","Apple M4","8","1","3.9","3.9","16",,,,,,,"0","0","No","1","1","11.29","235.93","Yes","23.5",,,,,,,"143",,"No","SSD",,"Sleep Mode","No","0.3","0.6","1.2","20.6",,"19","93.8","57.7","112.7","No","No","10","10",,"No","10/28/2024","10/16/2025","United States, Canada","ES_1023756_A3247_10282025121525_80271342"
"4515596","BRELDYNG","UltraTech","ULTRAAIO-ULTRA 7 265","ULTRAAIO-ULTRA 7 265","ULTRAAIO-I3 13100,ULTRAAIO-I3 13100; ULTRAAIO-I3 14100,ULTRAAIO-I3 14100; ULTRAAIO-I5 13500,ULTRAAIO-I5 13500; ULTRAAIO-I5 14500,ULTRAAIO-I5 14500; ULTRAAIO-I7 13700,ULTRAAIO-I7 13700; ULTRAAIO-I7 14700,ULTRAAIO-I7 14700; ULTRAAIO-ULTRA 5 225H,ULTRAAIO-ULTRA 5 225H; ULTRAAIO-ULTRA 5 225U,ULTRAAIO-ULTRA 5 225U; ULTRAAIO-ULTRA 5 235H,ULTRAAIO-ULTRA 5 235H; ULTRAAIO-ULTRA 5 235U,ULTRAAIO-ULTRA 5 235U; ULTRAAIO-ULTRA 5 245,ULTRAAIO-ULTRA 5 245; ULTRAAIO-ULTRA 7 265H,ULTRAAIO-ULTRA 7 265H; ULTRAAIO-ULTRA 7 265U,ULTRAAIO-ULTRA 7 265U",,"Integrated Desktop","Category 2",,"No",,"2","Windows 11 pro","Intel","Core i5,Core Ultra 5,Core i3,Core Ultra 7,Core i7","20","1","2.4","5.3","16","Yes","No",,,,,"1",,"Yes","1","1","2.07","242.19","No","23.8",,,,,,,"133",,"No","SSD",,"Sleep Mode","No","0.7","1.3","5.8","17.4",,"19","41.6","56.8","60.5","Yes","No","30","15","Shipped Enabled Under All Conditions","Yes","11/24/2025","11/24/2025","United States","ES_1152592_ULTRAAIO-ULTRA 7 265_24112025120000_0000001"
